library,N,l2_error,max_error,rt_error
MKL,2225,3.586e-16,4.133e-16,1.110e-15
VectorFFT,2226,5.595e-16,8.345e-16,1.391e-15
MKL,2226,2.999e-16,3.450e-16,9.459e-16
VectorFFT,2227,5.457e-16,6.269e-16,1.313e-15
MKL,2227,4.901e-16,6.311e-16,1.822e-15
VectorFFT,2228,5.442e-16,6.895e-16,1.231e-15
MKL,2228,4.623e-16,5.239e-16,1.507e-15
VectorFFT,2229,5.776e-16,6.935e-16,1.456e-15
MKL,2229,4.851e-16,4.574e-16,1.365e-15
VectorFFT,2230,5.667e-16,7.432e-16,1.489e-15
MKL,2230,4.638e-16,4.983e-16,1.597e-15
VectorFFT,2231,5.713e-16,9.485e-16,1.373e-15
MKL,2231,4.801e-16,5.108e-16,1.374e-15
VectorFFT,2232,5.414e-16,6.098e-16,1.852e-15
MKL,2232,2.664e-16,3.831e-16,9.423e-16
VectorFFT,2233,4.867e-16,7.024e-16,1.119e-15
MKL,2233,3.641e-16,4.716e-16,1.174e-15
VectorFFT,2234,5.574e-16,6.076e-16,1.490e-15
MKL,2234,4.673e-16,4.520e-16,1.587e-15
VectorFFT,2235,5.500e-16,9.222e-16,1.355e-15
MKL,2235,4.638e-16,5.383e-16,1.615e-15
VectorFFT,2236,5.448e-16,6.397e-16,1.286e-15
MKL,2236,2.652e-16,3.383e-16,1.138e-15
VectorFFT,2237,5.649e-16,7.021e-16,1.301e-15
MKL,2237,4.921e-16,5.193e-16,1.610e-15
VectorFFT,2238,5.541e-16,7.939e-16,1.200e-15
MKL,2238,4.636e-16,5.134e-16,1.539e-15
VectorFFT,2239,5.697e-16,6.040e-16,1.457e-15
MKL,2239,4.918e-16,4.427e-16,1.550e-15
VectorFFT,2240,2.938e-16,4.817e-16,8.051e-16
MKL,2240,2.542e-16,3.569e-16,8.325e-16
VectorFFT,2241,5.642e-16,8.222e-16,1.416e-15
MKL,2241,3.818e-16,4.241e-16,1.211e-15
VectorFFT,2242,5.788e-16,6.208e-16,1.444e-15
MKL,2242,3.072e-16,3.106e-16,1.065e-15
VectorFFT,2243,5.574e-16,6.751e-16,1.270e-15
MKL,2243,4.758e-16,5.018e-16,1.644e-15
VectorFFT,2244,5.429e-16,6.815e-16,1.416e-15
MKL,2244,2.756e-16,3.586e-16,9.993e-16
VectorFFT,2245,5.738e-16,9.297e-16,1.283e-15
MKL,2245,4.595e-16,4.857e-16,1.857e-15
VectorFFT,2246,5.623e-16,7.371e-16,1.621e-15
MKL,2246,4.718e-16,5.237e-16,1.598e-15
VectorFFT,2247,5.451e-16,7.274e-16,1.260e-15
MKL,2247,5.078e-16,5.433e-16,1.866e-15
VectorFFT,2248,5.234e-16,7.399e-16,1.223e-15
MKL,2248,4.777e-16,5.078e-16,1.691e-15
VectorFFT,2249,5.428e-16,7.872e-16,1.458e-15
MKL,2249,4.789e-16,4.439e-16,1.493e-15
VectorFFT,2250,4.965e-16,5.486e-16,1.311e-15
MKL,2250,3.436e-16,4.379e-16,1.013e-15
VectorFFT,2251,9.413e-16,8.746e-16,2.467e-15
MKL,2251,4.914e-16,5.717e-16,1.659e-15
VectorFFT,2252,5.613e-16,8.952e-16,1.425e-15
MKL,2252,4.846e-16,4.379e-16,1.720e-15
VectorFFT,2253,5.557e-16,6.555e-16,1.377e-15
MKL,2253,4.862e-16,5.212e-16,1.836e-15
VectorFFT,2254,5.116e-16,5.686e-16,2.255e-15
MKL,2254,2.875e-16,3.319e-16,1.065e-15
VectorFFT,2255,4.527e-16,4.686e-16,1.101e-15
MKL,2255,3.568e-16,3.538e-16,1.120e-15
VectorFFT,2256,4.801e-16,6.664e-16,1.066e-15
MKL,2256,2.706e-16,3.819e-16,9.162e-16
VectorFFT,2257,5.692e-16,7.662e-16,1.337e-15
MKL,2257,3.659e-16,4.198e-16,1.286e-15
VectorFFT,2258,5.590e-16,8.971e-16,1.500e-15
MKL,2258,4.768e-16,5.716e-16,1.701e-15
VectorFFT,2259,5.408e-16,6.354e-16,1.371e-15
MKL,2259,4.903e-16,5.943e-16,1.624e-15
VectorFFT,2260,5.484e-16,7.650e-16,1.391e-15
